Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Precip (mm)
2010,1,1,NaN,NaN,NaN,NaN
2010,1,2,NaN,NaN,NaN,NaN
2010,1,3,NaN,NaN,NaN,NaN
2010,1,4,NaN,NaN,NaN,NaN
2010,1,5,NaN,NaN,NaN,NaN
2010,1,6,NaN,NaN,NaN,NaN
2010,1,7,NaN,NaN,NaN,NaN
2010,1,8,NaN,NaN,NaN,NaN
2010,1,9,NaN,NaN,NaN,NaN
2010,1,10,NaN,NaN,NaN,NaN
2010,1,11,NaN,NaN,NaN,NaN
2010,1,12,NaN,NaN,NaN,NaN
2010,1,13,NaN,NaN,NaN,NaN
2010,1,14,NaN,NaN,NaN,NaN
2010,1,15,NaN,NaN,NaN,NaN
2010,1,16,NaN,NaN,NaN,NaN
2010,1,17,NaN,NaN,NaN,NaN
2010,1,18,NaN,NaN,NaN,NaN
2010,1,19,NaN,NaN,NaN,NaN
2010,1,20,NaN,NaN,NaN,NaN
2010,1,21,NaN,NaN,NaN,NaN
2010,1,22,NaN,NaN,NaN,NaN
2010,1,23,NaN,NaN,NaN,NaN
2010,1,24,NaN,NaN,NaN,NaN
2010,1,25,NaN,NaN,NaN,NaN
2010,1,26,NaN,NaN,NaN,NaN
2010,1,27,NaN,NaN,NaN,NaN
2010,1,28,NaN,NaN,NaN,NaN
2010,1,29,NaN,NaN,NaN,NaN
2010,1,30,NaN,NaN,NaN,NaN
2010,1,31,NaN,NaN,NaN,NaN
2010,2,1,NaN,NaN,NaN,NaN
2010,2,2,NaN,NaN,NaN,NaN
2010,2,3,NaN,NaN,NaN,NaN
2010,2,4,-27.8,-36,-31.9,0
2010,2,5,NaN,NaN,NaN,NaN
2010,2,6,NaN,NaN,NaN,NaN
2010,2,7,NaN,NaN,NaN,NaN
2010,2,8,-13,-23,-18,0
2010,2,9,NaN,NaN,NaN,0
2010,2,10,-18,-30,-24,0
2010,2,11,-15,-23.6,-19.3,0
2010,2,12,NaN,NaN,NaN,NaN
2010,2,13,NaN,NaN,NaN,NaN
2010,2,14,NaN,NaN,NaN,NaN
2010,2,15,NaN,NaN,NaN,NaN
2010,2,16,NaN,NaN,NaN,NaN
2010,2,17,NaN,NaN,NaN,NaN
