Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),Dir of Max Gust (10s deg),Spd of Max Gust (km/h)
2000,1,1,-5.7,-15,-10.4,28.4,0,0,1.8,0.6,0,NaN,NaN
2000,1,2,-14.9,-25.7,-20.3,38.3,0,0,9,3.2,3,NaN,NaN
2000,1,3,-6.3,-25.1,-15.7,33.7,0,0,0,0,9,NaN,NaN
2000,1,4,5.1,-9.5,-2.2,20.2,0,0,0,0,8,27,61
2000,1,5,1.4,-9.4,-4,22,0,0,0,0,2,4,44
2000,1,6,5.1,-11.8,-3.4,21.4,0,0,0,0,1,27,61
2000,1,7,4.7,-3.5,0.6,17.4,0,0,0,0,1,26,52
2000,1,8,5.9,-6.7,-0.4,18.4,0,0,0,0,1,27,52
2000,1,9,1.8,-10,-4.1,22.1,0,0,0,0,0,27,37
2000,1,10,-3.9,-18.1,-11,29,0,0,0.4,0.2,0,NaN,NaN
2000,1,11,-13.5,-21.8,-17.7,35.7,0,0,3.4,2,0,NaN,NaN
2000,1,12,-13.7,-19.2,-16.5,34.5,0,0,2,0.6,3,NaN,NaN
2000,1,13,-15.6,-20.3,-18,36,0,0,2.4,1,5,NaN,NaN
2000,1,14,-20,-25.8,-22.9,40.9,0,0,3.4,2,8,NaN,NaN
2000,1,15,-20,-26.5,-23.3,41.3,0,0,0,0,10,NaN,NaN
2000,1,16,-12.3,-21.7,-17,35,0,0,0,0,9,NaN,NaN
2000,1,17,-11.8,-19.5,-15.7,33.7,0,0,0,0,8,NaN,NaN
2000,1,18,-12,-22.4,-17.2,35.2,0,0,1,0.4,8,NaN,NaN
2000,1,19,-5,-21.3,-13.2,31.2,0,0,0,0,9,NaN,NaN
2000,1,20,2.2,-22.2,-10,28,0,0,0,0,9,27,48
2000,1,21,2.2,-9.2,-3.5,21.5,0,0,0.2,0.2,7,35,37
2000,1,22,-5,-11.4,-8.2,26.2,0,0,0,0,6,NaN,NaN
2000,1,23,-2,-14.3,-8.2,26.2,0,0,0,0,5,NaN,NaN
2000,1,24,-3.6,-16.7,-10.2,28.2,0,0,0,0,4,NaN,NaN
2000,1,25,2.5,-17.8,-7.7,25.7,0,0,0,0,4,NaN,NaN
2000,1,26,3.4,-8.8,-2.7,20.7,0,0,0.2,0,4,NaN,NaN
2000,1,27,1.4,-8.9,-3.8,21.8,0,0,0,0,4,NaN,NaN
2000,1,28,6,-12.1,-3.1,21.1,0,0,0,0,3,NaN,NaN
2000,1,29,5.6,-12.5,-3.5,21.5,0,0,0,0,3,NaN,NaN
2000,1,30,6.2,-9.6,-1.7,19.7,0,0,0,0,3,NaN,NaN
2000,1,31,6,-17.7,-5.9,23.9,0,0,0,0,3,27,39
2000,2,1,6.5,-8.2,-0.9,18.9,0,0,0,0,3,25,52
2000,2,2,4.2,-6.1,-1,19,0,0,1.4,0.8,2,36,50
2000,2,3,0.6,-15,-7.2,25.2,0,0,0,0,2,NaN,NaN
2000,2,4,-2.4,-15.6,-9,27,0,0,0,0,1,NaN,NaN
2000,2,5,-0.3,-16.8,-8.6,26.6,0,0,0,0,1,NaN,NaN
2000,2,6,-0.2,-11.4,-5.8,23.8,0,0,0,0,1,NaN,NaN
2000,2,7,9.6,-7.3,1.2,16.8,0,0,0,0,1,NaN,NaN
2000,2,8,8.6,-0.3,4.2,13.8,0,0.2,2.4,2.2,0,27,35
2000,2,9,-0.3,-17.4,-8.9,26.9,0,0,13.2,10,8,36,46
2000,2,10,-14.8,-17.7,-16.3,34.3,0,0,5.6,4.2,17,NaN,NaN
2000,2,11,-14.6,-22.5,-18.6,36.6,0,0,0,0,18,NaN,NaN
2000,2,12,-13.4,-21.3,-17.4,35.4,0,0,0.8,0.2,16,NaN,NaN
2000,2,13,-8.8,-21.6,-15.2,33.2,0,0,0,0,17,NaN,NaN
2000,2,14,-11.8,-24.3,-18.1,36.1,0,0,0.4,0.2,16,NaN,NaN
2000,2,15,-7.4,-13,-10.2,28.2,0,0,3.8,2.6,17,NaN,NaN
2000,2,16,-6.2,-21.1,-13.7,31.7,0,0,0,0,17,NaN,NaN
2000,2,17,-4.4,-19.8,-12.1,30.1,0,0,0,0,16,NaN,NaN
2000,2,18,0.2,-20.8,-10.3,28.3,0,0,0,0,15,28,37
2000,2,19,3.9,-5.8,-1,19,0,0,0,0,14,NaN,NaN
2000,2,20,6.8,-13.6,-3.4,21.4,0,0,0,0,13,27,52
2000,2,21,7.3,-4.7,1.3,16.7,0,0,0,0,9,31,41
2000,2,22,6,-10.5,-2.3,20.3,0,0,0,0,7,NaN,NaN
2000,2,23,6.1,-2.4,1.9,16.1,0,0,0,0,5,NaN,NaN
2000,2,24,1.8,-3.6,-0.9,18.9,0,0,1,0.4,4,NaN,NaN
2000,2,25,2.9,-10.3,-3.7,21.7,0,0,0,0,5,NaN,NaN
2000,2,26,3.9,-14,-5.1,23.1,0,0,0,0,5,29,39
2000,2,27,1.5,-13.5,-6,24,0,0,0,0,5,NaN,NaN
2000,2,28,1.5,-6.2,-2.4,20.4,0,0,0,0,5,33,46
2000,2,29,0.8,-12.7,-6,24,0,0,0,0,4,NaN,NaN
2000,3,1,9.2,-4.6,2.3,15.7,0,0,0,0,4,NaN,NaN
2000,3,2,9.3,-0.5,4.4,13.6,0,0,0,0,3,28,50
2000,3,3,10.8,-3.3,3.8,14.2,0,0,0,0,2,29,41
2000,3,4,6.8,-3.2,1.8,16.2,0,0,0.6,0.5,1,34,39
2000,3,5,-0.1,-4.9,-2.5,20.5,0,0,1.2,0.6,1,NaN,NaN
2000,3,6,-4.1,-8.4,-6.3,24.3,0,0,9,7.6,4,NaN,NaN
